1,a45138,32172,2018-01-03 21:10:21.751115,a45155,a45156,a45157
2,a45415,24640,2017-12-21 09:54:02.081903,a42921,a42419
3,a45083,21120,2018-01-02 21:23:22.114332,a45085,a45410,a45097
4,a45089,20984,2017-12-19 13:16:28.075280,a45126,a43788,a45137,a43756
5,a42331,20856,2017-12-27 21:55:45.401272,a43808,a42352,a43738
6,a43948,20152,2018-01-03 23:30:52.118309,a45131,a45124
7,a45133,15768,2018-01-01 22:30:42.630444,d1917,a45085
8,a43742,15608,2017-12-26 16:20:01.385094,d1917,a43756
9,a45107,15128,2018-01-02 17:17:42.359306,a45149,a45085
10,a45088,14940,2018-01-04 00:14:11.976295,a45157,a45117,a45123,a45092
11,a42419,14472,2017-12-27 20:10:44.836036,a43795,a43768
12,a45124,13440,2017-12-30 15:59:36.279619,a44616,d1235
13,a45157,12740,2018-01-02 16:45:52.097354,a45088,a45117,a45123
14,d1917,11536,2017-12-28 22:20:41.858624,d1235,d1497,a43756,a43742
15,a45149,11152,2018-01-02 17:10:53.497386,a45107,a45124,a45133
16,a42343,9452,2017-12-22 11:30:55.544806,a42341,a45082,d1235,a41634,a45137
17,a44614,8392,2017-12-19 12:58:59.163811,a45100,a45147,a45413
18,a43794,7804,2018-01-03 14:19:38.966569,a43780,a45085
19,a43778,7776,2018-01-03 14:28:36.580405,a43775,a43773,a43795
20,a44616,7496,2018-01-03 20:42:29.171463,a45124,a44616
21,a45100,7492,2018-01-03 18:20:25.053779,a44614,a45413,a45407
22,a45123,7460,2018-01-03 11:10:11.445624,a45088,a45117,a45157
23,a45136,7140,2017-12-18 10:38:42.199578,a45409,a45138,a45037
24,a45125,7140,2018-01-03 21:54:52.495904,a43789,a45121,a45096
25,a45147,7128,2017-12-19 13:02:04.776055,a44614,a45413,a45100
26,a45117,6992,2018-01-03 18:11:36.307538,a45088,a45123,a45157
27,a44615,5940,2017-12-29 16:54:21.491849,a44619,a24027,a42921,a45415
28,a43746,5804,2018-01-03 16:02:57.484661,d1917,a43756
29,a44613,5604,2017-12-31 00:31:27.927236,a45087,a44616
30,a45155,5364,2018-01-03 17:30:42.344819,a45125,a45124,a45156,a45138
31,a24027,5328,2018-01-04 01:50:59.668556,a44615,a41124
32,a45134,4636,2018-01-04 01:03:41.176495,a45407,a45132,a45116
33,a45092,4612,2018-01-02 15:32:08.303809,a45088,a45117,a45123,a45157
34,a44037,4584,2018-01-03 18:49:45.545162,a45113,a45122
35,a43738,4548,2018-01-03 22:30:13.409888,a43808,a42352
36,a45413,4408,2017-12-18 10:38:03.877901,a45407,a45082,d1497
37,a43787,4392,2018-01-03 19:22:59.842263,d1235,d1497,a43756,a43742
38,a45110,4380,2017-12-28 18:57:01.111624,a43747,a45112
39,a44105,4260,2018-01-03 01:10:03.392196,a45148,a45084
40,a45112,3728,2017-12-27 23:45:40.280390,a45110,a45111,a45113
41,a45407,3612,2017-12-19 13:10:17.639826,a45413,a45134,a45100
42,a45137,3604,2017-12-19 13:16:28.281351,a45089,a45147,a45100
43,a43749,3260,2018-01-03 02:11:25.979197,a43786,a43787
44,a45115,3072,2018-01-03 16:53:21.746312,d1917,a45154
45,a45409,3056,2018-01-04 02:36:57.685502,a45037,a41921
46,a45410,3052,2018-01-02 21:08:26.887606,d1917,a45414,a45133
47,a45120,3040,2018-01-03 20:38:08.053850,a45109,a45132,a45134
48,a45156,2940,2018-01-03 22:00:32.272064,a45125,a45155,a45138
49,a43780,2876,2018-01-03 23:11:50.482230,a45096,a43748
50,a45140,2828,2018-01-04 00:21:58.563723,a44037,a45138
51,a43795,2816,2018-01-03 16:13:05.306623,a45089,a45407
52,a42352,2700,2018-01-03 13:33:51.015393,a43738,a43795
53,a45406,2644,2017-12-19 12:59:35.475299,d1235,a45123
54,a43776,2492,2018-01-03 20:15:50.526844,a43743,a43948,a45407
55,a42921,2380,2017-12-13 22:01:33.355326,a44615,d1235
56,a43756,2320,2017-12-21 16:35:43.275034,d1917,a43742
57,a45132,2280,2018-01-03 17:28:44.554394,a45407,a45116,a45134
58,a45414,2016,2018-01-03 17:17:28.847770,d1917,a45410,a45133
59,a45104,1716,2018-01-04 01:25:59.571872,a45128,a45103
60,a45116,1584,2018-01-03 21:11:57.316546,a45407,a45132,a45134
61,a43737,1532,2018-01-04 00:33:18.060139,a41401,a45102,a43760
62,a43747,1380,2017-12-19 13:11:22.263539,a45110,a45112
63,a44619,1328,2018-01-04 02:03:21.560833,a44615,a44617,a38423
